1 :	 [0.09556931555968724, 0.16461096631750194, 0.1518949517754279, 0.09246501435946812, 0.05091385979182921, 0.12179817062036222, 0.016849549295307027, 0.11580537525523332, 0.10078188548946695, 0.08931091153571606]
2 :	 [0.30333414604413017, 0.052907472875777156, 0.02745946604900646, 0.08268316469584298, 0.13589540412044374, 0.24299036937705717, 0.0071315372424722665, 0.047116908448128735, 0.034377666707302204, 0.06610386443983908]
3 :	 [0.0635878665161014, 0.015419960281920485, 0.08673727658580273, 0.12043923523227289, 0.11625326116584245, 0.05632568825201511, 0.043553599937697134, 0.16377866905494334, 0.18653868618823255, 0.14736575678517191]
4 :	 [0.10705918880013549, 0.10226085974766434, 0.03508425301306839, 0.118405825735979, 0.0038104377769623754, 0.08405543481328855, 0.1745180501848768, 0.06926529114567162, 0.21623528747636117, 0.08930537130599227]
5 :	 [0.15133028897861311, 0.14674612550029092, 0.011319357511857114, 0.029585485833171714, 0.1289560449248021, 0.16998430805578574, 0.14008145705873018, 0.03267098048204242, 0.0718303154257101, 0.1174956362289966]
6 :	 [0.15514216176442844, 0.004509178725732505, 0.08454238439333622, 0.060977680508650454, 0.18651774427862575, 0.11565383091523121, 0.09923966567930118, 0.09454181838763843, 0.09644737090353377, 0.10242816444352207]
7 :	 [0.09234100836603243, 0.070556007995854, 0.03418597764122307, 0.047456874213370845, 0.11923447101502925, 0.04442141112015992, 0.15651143851336344, 0.10951728733249426, 0.16256385577848523, 0.16321166802398757]
8 :	 [0.03592629712435433, 0.08547272119857117, 0.03751959499396089, 0.000950839051216817, 0.1789890268033819, 0.10937218924266955, 0.08128388970267006, 0.21044381055174363, 0.23791534962608896, 0.022126281705342688]
9 :	 [0.09501849609342601, 0.11752898827198381, 0.08989267289285537, 0.15442164457641458, 0.06353366620772025, 0.027868553323490867, 0.1512200786291326, 0.08362224839506992, 0.08383789791483502, 0.13305575369507158]
10 :	 [0.02282898090976038, 0.0704979323627712, 0.02220585736135501, 0.1339432391094998, 0.0015578088710134254, 0.11221888630827621, 0.06174587888744123, 0.26414773692856736, 0.26258992805755393, 0.0482637512037614]
11 :	 [0.11843924098353789, 0.08876136220835253, 0.051376031500020944, 0.1564947849034474, 0.11697314958321116, 0.006408913835713986, 0.17278934360993592, 0.1476354040129016, 0.008252000167553303, 0.13286976919532525]
12 :	 [0.18977204041101806, 0.0342371125118729, 0.19937829203004923, 0.07747603833865814, 0.12742854675762025, 0.009282445384681806, 0.16136344011743373, 0.0031085398497539074, 0.18605906225714533, 0.011894482341766687]
13 :	 [0.1434102237162397, 0.03533093775356439, 0.20113596847107917, 0.07991190448591631, 0.19292917584328273, 0.150481047872957, 0.06217688651906804, 0.06688304161353889, 0.0340790541323751, 0.033661759591978674]
14 :	 [0.055503855357617655, 0.17388992289284766, 0.1823096694141629, 0.20692634937516619, 0.021869183727731986, 0.08295666046264291, 0.004874590091287778, 0.18729504564388905, 0.05280067357972171, 0.031574049454932196]
15 :	 [0.019166002310333045, 0.14176008330214926, 0.07139254510843922, 0.10995232904348957, 0.08795535525438068, 0.14701527748401477, 0.11441029562501016, 0.09044465776158014, 0.05829523453134406, 0.15960821957925905]
16 :	 [0.1519241675443571, 0.09414242890707283, 0.10780199303248805, 0.05413594750060763, 0.12000324070323261, 0.052758648626752, 0.13499149315401443, 0.08260552539901159, 0.0551729725350401, 0.14646358259742365]
