1 :	 [0.09516774507237162, 0.06141302315143808, 0.14354639637954894, 0.1256685492014811, 0.0354751842016681, 0.07100647043422972, 0.05582152073905075, 0.15484160526611063, 0.07115607584994577, 0.1859034297041553]
2 :	 [0.001889605072539839, 0.12051481240420753, 0.08587205274097713, 0.08541014927880074, 0.05704507757878603, 0.15079048478867918, 0.04268407902748326, 0.13989376220369942, 0.10714060761300888, 0.20875936929181801]
3 :	 [0.00854643186469649, 0.15068708814070125, 0.18413062546386882, 0.1093718372579448, 0.04232732834041788, 0.018734678271821514, 0.09922857207116029, 0.10626813305444976, 0.07302701122281448, 0.2076782943121247]
4 :	 [0.028290345600978692, 0.09437761239677847, 0.1586808033438679, 0.11532776022020594, 0.1310786012845346, 0.10429197675604038, 0.12633805688653277, 0.019140585176878378, 0.08030889998980528, 0.1421653583443776]
5 :	 [0.07044557628090532, 0.07648328667318785, 0.128157992376969, 0.013660741390359901, 0.15328701049010018, 0.12200222619489325, 0.09432657604479373, 0.13203696832731812, 0.051269942995918645, 0.15832967922555402]
6 :	 [0.06382340729805785, 0.15373437283756977, 0.1769848226230567, 0.06089403515246575, 0.0487152281219726, 0.02387322969045532, 0.19375374821239102, 0.10448862850025373, 0.053374544448032475, 0.1203579831157448]
7 :	 [0.13523368687457335, 0.10498010289881617, 0.12151384471935929, 0.10551291230290215, 0.02928786693085133, 0.10895952313558334, 0.032584625118633345, 0.10967548577232387, 0.1016167435355234, 0.15063520871143377]
8 :	 [0.09375650561138553, 0.09742803610969171, 0.17312969586858193, 0.07939211567213611, 0.09869603891065312, 0.09250742822536384, 0.032154279982588616, 0.07931641401237723, 0.11620204772989648, 0.13741743787732547]
9 :	 [0.08005063096927621, 0.17717003567181927, 0.1622492424533006, 0.10987303900886042, 0.04917341106977101, 0.038586935675654944, 0.13106516819454567, 0.05738176517970158, 0.04742817690153811, 0.1470215948755322]
10 :	 [0.0905528701770443, 0.13468523868089122, 0.17581443239996566, 0.037983010611217574, 0.25426879844406947, 0.0203071818779853, 0.06755713182507223, 0.07851156937333753, 0.03395017590023739, 0.10636959071017933]
11 :	 [0.13440294581799053, 0.1531237429216821, 0.007581149240337903, 0.01253210384627286, 0.10788439520995143, 0.14348485317325246, 0.1191323452053099, 0.14122598013429463, 0.14314447504409444, 0.03748800940681375]
12 :	 [0.12018762863570369, 0.1592928825565997, 0.04409911131675096, 0.046141327759784294, 0.1200280804760917, 0.15466598592785233, 0.15364487770633567, 0.06262265264770171, 0.021363498572043973, 0.11795395440113599]
13 :	 [0.08553392772068331, 0.11896821615735384, 0.04260532226230178, 0.06293813380521336, 0.15260668345470632, 0.03702443340366161, 0.16826039610698973, 0.11869597767644456, 0.1428911726672565, 0.07047573674538896]
14 :	 [0.0698440588622886, 0.10152224230853706, 0.09430806399837807, 0.15850918244944162, 0.004679923634459106, 0.15094020848468465, 0.144047035766781, 0.06016320600111507, 0.14705435131527816, 0.06893172717903664]
