1 :	 [0.2040529130312412, 0.29573599774838166, 0.31480439065578386, 0.034688995215311005, 0.1507177033492823]
2 :	 [0.22109450706380374, 0.4673840975161932, 0.017748763196817462, 0.08593869536390064, 0.20783393685928495]
3 :	 [0.17226145210936086, 0.22433460076045628, 0.026362484157160963, 0.3197537570161144, 0.2572877059569075]
4 :	 [0.3212022576959036, 0.26718376675092625, 0.04061774992208871, 0.22324180200145435, 0.14775442362962707]
5 :	 [0.41817929887765, 0.4089418502609579, 0.008406078241189783, 0.10858620848921528, 0.05588656413098702]
6 :	 [0.14525960426369916, 0.04585664718201994, 0.2204995154887312, 0.2766715638773405, 0.31171266918820917]
7 :	 [0.2588654891304348, 0.22034646739130434, 0.3387567934782609, 0.16908967391304347, 0.012941576086956522]
8 :	 [0.22216664705190067, 0.1669118512416147, 0.19951159232670354, 0.18844886430504884, 0.22296104507473224]
9 :	 [0.2560672703751617, 0.21104786545924967, 0.1871927554980595, 0.22240620957309185, 0.12328589909443725]
10 :	 [0.28407779316712833, 0.0793224838411819, 0.234533702677747, 0.22812788550323176, 0.173938134810711]
11 :	 [0.21291536957938173, 0.35618620140447405, 0.05867660899152972, 0.07474842539636574, 0.29747339462824873]
12 :	 [0.3055630752571738, 0.22001894964807797, 0.2616404981050352, 0.20790471034109367, 0.004872766648619383]
13 :	 [0.26558881731295525, 0.16643509746958024, 0.22175908382804935, 0.044419182350216836, 0.30179781903919833]
14 :	 [0.0609719885182619, 0.40918539047807584, 0.21023458378699397, 0.053399980203899834, 0.2662080570127685]
15 :	 [0.15361112043783368, 0.28946043044689923, 0.01316187086593023, 0.3184366920726589, 0.22532988617667796]
16 :	 [0.173884826720893, 0.20979535326439666, 0.011595206161034915, 0.3186951066499373, 0.28602950720373815]
17 :	 [0.00029609159099881565, 0.4745361231741019, 0.08606395578365575, 0.1724240031583103, 0.2666798262929333]
18 :	 [0.056797279973245636, 0.002452483139178418, 0.24993032718354607, 0.3974694833063932, 0.2933504263976367]
19 :	 [0.43051235132662397, 0.0989021043000915, 0.06930466605672461, 0.06683440073193046, 0.3344464775846295]
20 :	 [0.2858981942173202, 0.11213945235030097, 0.3397585331060158, 0.2552103267109704, 0.006993493615392645]
21 :	 [0.3179429283295052, 0.2639467434889244, 0.19827149920193093, 0.06684315023163467, 0.15299567874800482]
22 :	 [0.002451493318185895, 0.25319142575263837, 0.29707913540016145, 0.2766599898352716, 0.17061795569374272]
23 :	 [0.131592164741336, 0.1869321035569152, 0.14574676955390165, 0.22451029633350075, 0.3112186658143464]
