1 :	 [0.17133377571333774, 0.1887193098871931, 0.06937150440800076, 0.03329225519006541, 0.07682244762536733, 0.015698170442695992, 0.17624419376244194, 0.17952412550952698, 0.009403734951180206, 0.07959048251019053]
2 :	 [0.08725546369812556, 0.13297045101088648, 0.015899975444053367, 0.05608987476467218, 0.16724645985102726, 0.028873700581157402, 0.11823688303184088, 0.19990586887124498, 0.18146844560857822, 0.012052877138413685]
3 :	 [0.05355850422195416, 0.03078407720144753, 0.028685162846803378, 0.1248009650180941, 0.02089264173703257, 0.09194209891435465, 0.1716767189384801, 0.1972496984318456, 0.17425814234016887, 0.10615199034981906]
4 :	 [0.13918402039949002, 0.14761297634225812, 0.01832766680832979, 0.17337795721773622, 0.1619209519762006, 0.14777234735798273, 0.0035947017991216886, 0.026880577985550363, 0.07835741606459838, 0.10297138404873211]
5 :	 [0.0900489295692037, 0.11679812308024758, 0.12991803911278496, 0.12598206430302375, 0.07760816213129178, 0.02928056554555698, 0.10418756849367929, 0.06857857286183956, 0.11298562983314554, 0.14461234506922685]
6 :	 [0.15240344224699712, 0.10054267614268522, 0.191071955677664, 0.14974682682046275, 0.0371017915124543, 0.02686133375718081, 0.1341477259826071, 0.05692422969505688, 0.0250902568061579, 0.12610976135873392]
7 :	 [0.06718227424749164, 0.0800376254180602, 0.18785535117056856, 0.035535117056856184, 0.05982441471571907, 0.01318979933110368, 0.19613294314381272, 0.018812709030100336, 0.18198160535117056, 0.15944816053511707]
8 :	 [0.14930283092895516, 0.06820788314118428, 0.08522967344721434, 0.140444860264381, 0.01480352507997827, 0.05832377618156576, 0.10516388000241444, 0.1485634091869379, 0.13852839983098933, 0.09143176193637954]
9 :	 [0.06635592484294027, 0.10405025911235923, 0.11283691844474682, 0.0684693552589676, 0.05672968356445963, 0.10900089748414928, 0.1324512897715758, 0.12320141281375756, 0.10614921397759185, 0.12075504472945195]
10 :	 [0.16657552973342446, 0.10408407382091593, 0.1169002050580998, 0.04155844155844156, 0.11411483253588517, 0.10487012987012986, 0.11696855775803144, 0.07501708817498291, 0.02744360902255639, 0.13246753246753246]
11 :	 [0.043412325738612485, 0.09756810582667957, 0.12296504723100254, 0.12751457126674096, 0.09144726023642909, 0.03557398914691857, 0.1825656392172626, 0.15300286857539602, 0.10633827264256089, 0.03961192011839725]
12 :	 [0.02665392642510498, 0.14408207397721845, 0.15388870728456838, 0.015766048932585684, 0.025597827453544216, 0.13671452638990167, 0.04724785637053987, 0.16480172999069628, 0.152379994468053, 0.13286730870778748]
13 :	 [0.014289494575284467, 0.09669224662609156, 0.020613919026197407, 0.016538766869542205, 0.16551997883037842, 0.13482402752050807, 0.1845197142101085, 0.2279703625297698, 0.10793860809738026, 0.03109288171473935]
14 :	 [0.061068114435331715, 0.008393977898425166, 0.15399869084748374, 0.16778329675407186, 0.10954526202302568, 0.15871549035462632, 0.1916560779330792, 0.02924415694428401, 0.097089060875592, 0.02250587193408032]
15 :	 [0.05366004962779156, 0.10407143789996082, 0.1413902311610291, 0.09370510643855295, 0.028617604806059814, 0.0739682643332898, 0.06356928300901137, 0.16039245135170432, 0.15598471986417656, 0.12464085150842366]
16 :	 [0.16627198528566503, 0.1429359696516841, 0.22922174962639383, 0.057431888722841704, 0.1506839866651339, 0.15413265892631337, 0.024761466835268423, 0.008253822278422807, 0.045361535808713646, 0.02094493619956317]
17 :	 [0.034727516050888516, 0.12674696345987702, 0.11138215513882536, 0.05307380867679694, 0.10885805763073639, 0.11781945079703884, 0.06217072385695652, 0.1573071775846589, 0.06860801951517, 0.15930612728905152]
18 :	 [0.19173625107975814, 0.15384393895767348, 0.0047797293406277, 0.024071408004606967, 0.11010653613590556, 0.015433342931183414, 0.2065649294558019, 0.2156061042326519, 0.031241002015548518, 0.04661675784624244]
19 :	 [0.1554031994776363, 0.07983625907230217, 0.0662748938948743, 0.2075893417715161, 0.03478239031618072, 0.06311057535347447, 0.024862502825284412, 0.16296240488209146, 0.20113513649262915, 0.0040432959140109]
20 :	 [0.160825988058004, 0.1332989764003412, 0.1293893943702019, 0.0121907876030708, 0.010893517202160932, 0.11940218936593688, 0.10794000568666477, 0.09516278077907307, 0.11638114870628377, 0.11451521182826273]
21 :	 [0.10565955812361183, 0.12008817488017902, 0.15398874434294685, 0.08491842153604649, 0.0872396920559109, 0.11484444147559326, 0.06616455971009168, 0.14866151199879762, 0.0864381022361016, 0.031996793640720764]
22 :	 [0.11697022857437697, 0.11132896479369829, 0.0672995889444989, 0.041948299881327075, 0.12993825567996148, 0.16041483927557917, 0.16908312264589032, 0.11127736786887502, 0.07803174930774126, 0.013707583028051529]
23 :	 [0.1428226779252111, 0.159167671893848, 0.09028950542822678, 0.08118214716525934, 0.15804181745074386, 0.03230800160836349, 0.010032167269802975, 0.11320868516284681, 0.15898673100120628, 0.05396059509449135]
24 :	 [0.057751910473892165, 0.0547945205479452, 0.07279911041711028, 0.13802730262379634, 0.23209596138831712, 0.010977831405115102, 0.1315447039061206, 0.23628362552345802, 0.033643267797572575, 0.03208176591667258]
25 :	 [0.11266615092481891, 0.0010900907236795836, 0.11537379562557142, 0.14503481257472395, 0.04884309726422392, 0.1642344749982418, 0.08089528096209297, 0.128595541177298, 0.12949222870806668, 0.07377452704128279]
26 :	 [0.056986148554429676, 0.05991447429580738, 0.024240029748071025, 0.1535046946174584, 0.2206935019057358, 0.14306962907873944, 0.0069024821046760245, 0.006739797341266152, 0.10690713024077345, 0.22104211211304267]
27 :	 [0.15203801402038014, 0.023686492736864927, 0.07774445327744453, 0.05698489556984895, 0.059243333092433334, 0.13077256630772566, 0.163998699139987, 0.07492592324925923, 0.0873744308737443, 0.1732311917323119]
